Province,County,Zip,GB1999,FullName,Latitude,Longitude
崇左市,龙州县,532400,p450000/c451400/x451423,广西壮族自治区崇左市龙州县, 22.342771 , 106.854376
崇左市,宁明县,532500,p450000/c451400/x451422,广西壮族自治区崇左市宁明县, 22.140192 , 107.076457
崇左市,凭祥市,532600,p450000/c451400/x451481,广西壮族自治区崇左市凭祥市, 22.094485 , 106.766293
崇左市,天等县,532800,p450000/c451400/x451425,广西壮族自治区崇左市天等县, 23.081394 , 107.143433
云浮市,郁南县,527100,p440000/c445300/x445322,广东省云浮市郁南县, 23.234627 , 111.535249
云浮市,罗定市,527200,p440000/c445300/x445381,广东省云浮市罗定市, 22.768595 , 111.570011
云浮市,新兴县,527400,p440000/c445300/x445321,广东省云浮市新兴县, 22.695690 , 112.225335
云浮市,云安县,527500,p440000/c445300/x445323,广东省云浮市云安县, 23.071020 , 112.003209
惠州市,博罗县,516100,p440000/c441300/x441322,广东省惠州市博罗县, 23.172899 , 114.289496
惠州市,惠阳区,516200,p440000/c441300/x441303,广东省惠州市惠阳区, 22.788734 , 114.456696
惠州市,惠东县,516300,p440000/c441300/x441323,广东省惠州市惠东县, 22.984975 , 114.720079
惠州市,龙门县,516800,p440000/c441300/x441324,广东省惠州市龙门县, 23.727737 , 114.254863
淄博市,淄川区,255100,p370000/c370300/x370302,山东省淄博市淄川区, 36.643452 , 117.966723
淄博市,博山区,255200,p370000/c370300/x370304,山东省淄博市博山区, 36.494715 , 117.861657
淄博市,周村区,255300,p370000/c370300/x370306,山东省淄博市周村区, 36.803072 , 117.869886
淄博市,临淄区,255400,p370000/c370300/x370305,山东省淄博市临淄区, 36.826981 , 118.309118
淄博市,沂源县,256100,p370000/c370300/x370323,山东省淄博市沂源县, 36.185038 , 118.170856
淄博市,高青县,256300,p370000/c370300/x370322,山东省淄博市高青县, 37.171063 , 117.826916
淄博市,桓台县,256400,p370000/c370300/x370321,山东省淄博市桓台县, 36.959804 , 118.097923
淮南市,风台县,232100,p340000/c340400/x340421,安徽省淮南市风台县, 32.709445 , 116.711051
鞍山市,台安县,114100,p210000/c210300/x210321,辽宁省鞍山市台安县, 41.412768 , 122.436196
鞍山市,海城市,114200,p210000/c210300/x210381,辽宁省鞍山市海城市, 40.882377 , 122.685217
